V1,V2,V3
HIF1A,RELA,1
MXD1,VDR,1
PPARG,RELA,1
TRIM28,IRF1,1
ZFHX3,STAT3,1
TCF3,USF1,1
EPAS1,TFAP2A,1
EPAS1,KDM1A,1
HIF1A,SMAD3,1
HIF1A,MAFG,1
HIF1A,MAFK,1
TRIM28,ZNF354A,1
VAV1,SPI1,1
MYC,CBFB,1
MYC,ETV3,1
MYC,ADNP,1
MYC,ECSIT,1
MYC,RBPJ,1
HIF1A,PCGF2,1
CTBP1,KLF4,1
MTA3,MTA2,1
MTA3,GATAD2B,1
MTA3,GATAD2A,1
TRERF1,HDAC1,1
SMAD7,SOX7,1
SMAD7,MKL2,1
SMAD7,SOX13,1
SMAD3,ZNF83,1
